SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Образование"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Образование";
"Большемурашкинский район";"Лицо";"Высшее профессиональное (высшее)";894
"Большемурашкинский район";"Лицо";"Послевузовское профессиональное";0
"Большемурашкинский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";90
"Большемурашкинский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";67
"Борский район";"Лицо";"Не указавшие образование";4822
"Борский район";"Лицо";"Начальное общее (начальное)";12845
"Борский район";"Лицо";"Основное общее (неполное среднее)";13747
"Борский район";"Лицо";"Среднее (полное) общее";12779
"Борский район";"Лицо";"Среднее профессиональное (среднее специальное)";13567
"Борский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";820
"Борский район";"Лицо";"Высшее профессиональное (высшее)";4273
"Борский район";"Лицо";"Послевузовское профессиональное";41
"Борский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";488
"Борский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";452
"Бутурлинский район";"Лицо";"Не указавшие образование";1575
"Бутурлинский район";"Лицо";"Начальное общее (начальное)";3380
"Бутурлинский район";"Лицо";"Основное общее (неполное среднее)";3483
"Бутурлинский район";"Лицо";"Среднее (полное) общее";3137
"Бутурлинский район";"Лицо";"Среднее профессиональное (среднее специальное)";3300
"Бутурлинский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";120
"Бутурлинский район";"Лицо";"Высшее профессиональное (высшее)";1084
"Бутурлинский район";"Лицо";"Послевузовское профессиональное";13
"Бутурлинский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";95
"Бутурлинский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";117
"Вадский район";"Лицо";"Не указавшие образование";1569
"Вадский район";"Лицо";"Начальное общее (начальное)";2738
"Вадский район";"Лицо";"Основное общее (неполное среднее)";3637
"Вадский район";"Лицо";"Среднее (полное) общее";2647
"Вадский район";"Лицо";"Среднее профессиональное (среднее специальное)";3393
"Вадский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";128
"Вадский район";"Лицо";"Высшее профессиональное (высшее)";1138
"Вадский район";"Лицо";"Послевузовское профессиональное";9
"Вадский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";135
"Вадский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";142
"Варнавинский район";"Лицо";"Не указавшие образование";1024
"Варнавинский район";"Лицо";"Начальное общее (начальное)";2240
"Варнавинский район";"Лицо";"Основное общее (неполное среднее)";2454
