SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Образование"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Образование";
"Сергачский район";"Лицо";"Среднее профессиональное (среднее специальное)";6504
"Сергачский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";359
"Сергачский район";"Лицо";"Высшее профессиональное (высшее)";2180
"Сергачский район";"Лицо";"Послевузовское профессиональное";8
"Сергачский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";344
"Сергачский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";439
"Сеченовский район";"Лицо";"Не указавшие образование";1536
"Сеченовский район";"Лицо";"Начальное общее (начальное)";4192
"Сеченовский район";"Лицо";"Основное общее (неполное среднее)";2941
"Сеченовский район";"Лицо";"Среднее (полное) общее";4224
"Сеченовский район";"Лицо";"Среднее профессиональное (среднее специальное)";3121
"Сеченовский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";153
"Сеченовский район";"Лицо";"Высшее профессиональное (высшее)";934
"Сеченовский район";"Лицо";"Послевузовское профессиональное";0
"Сеченовский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";254
"Сеченовский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";330
"Сосновский район";"Лицо";"Не указавшие образование";1742
"Сосновский район";"Лицо";"Начальное общее (начальное)";4947
"Сосновский район";"Лицо";"Основное общее (неполное среднее)";4374
"Сосновский район";"Лицо";"Среднее (полное) общее";5306
"Сосновский район";"Лицо";"Среднее профессиональное (среднее специальное)";3507
"Сосновский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";224
"Сосновский район";"Лицо";"Высшее профессиональное (высшее)";1288
"Сосновский район";"Лицо";"Послевузовское профессиональное";8
"Сосновский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";223
"Сосновский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";205
"Спасский район";"Лицо";"Не указавшие образование";1127
"Спасский район";"Лицо";"Начальное общее (начальное)";3687
"Спасский район";"Лицо";"Основное общее (неполное среднее)";3015
"Спасский район";"Лицо";"Среднее (полное) общее";2479
"Спасский район";"Лицо";"Среднее профессиональное (среднее специальное)";2023
"Спасский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";90
"Спасский район";"Лицо";"Высшее профессиональное (высшее)";621
"Спасский район";"Лицо";"Послевузовское профессиональное";0
"Спасский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";161
"Спасский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";233
"Тонкинский район";"Лицо";"Не указавшие образование";1068
"Тонкинский район";"Лицо";"Начальное общее (начальное)";2191
"Тонкинский район";"Лицо";"Основное общее (неполное среднее)";2429
"Тонкинский район";"Лицо";"Среднее (полное) общее";2093
"Тонкинский район";"Лицо";"Среднее профессиональное (среднее специальное)";2224
"Тонкинский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";86
"Тонкинский район";"Лицо";"Высшее профессиональное (высшее)";661
"Тонкинский район";"Лицо";"Послевузовское профессиональное";0
"Тонкинский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";137
"Тонкинский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";158
"Тоншаевский район";"Лицо";"Не указавшие образование";1710
"Тоншаевский район";"Лицо";"Начальное общее (начальное)";3509
"Тоншаевский район";"Лицо";"Основное общее (неполное среднее)";3162
"Тоншаевский район";"Лицо";"Среднее (полное) общее";3573
"Тоншаевский район";"Лицо";"Среднее профессиональное (среднее специальное)";3466
"Тоншаевский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";122
"Тоншаевский район";"Лицо";"Высшее профессиональное (высшее)";911
"Тоншаевский район";"Лицо";"Послевузовское профессиональное";12
"Тоншаевский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";206
"Тоншаевский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";138
"Уренский район";"Лицо";"Не указавшие образование";3039
"Уренский район";"Лицо";"Начальное общее (начальное)";6250
"Уренский район";"Лицо";"Основное общее (неполное среднее)";6008
"Уренский район";"Лицо";"Среднее (полное) общее";5224
"Уренский район";"Лицо";"Среднее профессиональное (среднее специальное)";8024
"Уренский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";338
"Уренский район";"Лицо";"Высшее профессиональное (высшее)";2009
"Уренский район";"Лицо";"Послевузовское профессиональное";15
"Уренский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";536
"Уренский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";478
"Чкаловский район";"Лицо";"Не указавшие образование";1963
"Чкаловский район";"Лицо";"Начальное общее (начальное)";5355
"Чкаловский район";"Лицо";"Основное общее (неполное среднее)";4878
"Чкаловский район";"Лицо";"Среднее (полное) общее";5078
"Чкаловский район";"Лицо";"Среднее профессиональное (среднее специальное)";5376
"Чкаловский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";299
"Чкаловский район";"Лицо";"Высшее профессиональное (высшее)";2054
"Чкаловский район";"Лицо";"Послевузовское профессиональное";19
"Чкаловский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";176
"Чкаловский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";160
"Шарангский район";"Лицо";"Не указавшие образование";1409
"Шарангский район";"Лицо";"Начальное общее (начальное)";3148
"Шарангский район";"Лицо";"Основное общее (неполное среднее)";2963
"Шарангский район";"Лицо";"Среднее (полное) общее";2555
"Шарангский район";"Лицо";"Среднее профессиональное (среднее специальное)";2495
"Шарангский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";154
"Шарангский район";"Лицо";"Высшее профессиональное (высшее)";697
"Шарангский район";"Лицо";"Послевузовское профессиональное";7
"Шарангский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";136
"Шарангский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";139
"Шатковский район";"Лицо";"Не указавшие образование";2538
"Шатковский район";"Лицо";"Начальное общее (начальное)";5534
"Шатковский район";"Лицо";"Основное общее (неполное среднее)";5652
"Шатковский район";"Лицо";"Среднее (полное) общее";5909
"Шатковский район";"Лицо";"Среднее профессиональное (среднее специальное)";5709
"Шатковский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";229
"Шатковский район";"Лицо";"Высшее профессиональное (высшее)";1931
"Шатковский район";"Лицо";"Послевузовское профессиональное";0
"Шатковский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";303
"Шатковский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";326
"Шахунский район";"Лицо";"Не указавшие образование";4021
"Шахунский район";"Лицо";"Начальное общее (начальное)";7994
"Шахунский район";"Лицо";"Основное общее (неполное среднее)";8281
"Шахунский район";"Лицо";"Среднее (полное) общее";9713
"Шахунский район";"Лицо";"Среднее профессиональное (среднее специальное)";10142
"Шахунский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";501
"Шахунский район";"Лицо";"Высшее профессиональное (высшее)";2638
"Шахунский район";"Лицо";"Послевузовское профессиональное";10
"Шахунский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";467
"Шахунский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";390
"Сокольский район";"Лицо";"Не указавшие образование";1294
"Сокольский район";"Лицо";"Начальное общее (начальное)";3557
"Сокольский район";"Лицо";"Основное общее (неполное среднее)";3049
"Сокольский район";"Лицо";"Среднее (полное) общее";2858
"Сокольский район";"Лицо";"Среднее профессиональное (среднее специальное)";3839
"Сокольский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";139
"Сокольский район";"Лицо";"Высшее профессиональное (высшее)";1037
"Сокольский район";"Лицо";"Послевузовское профессиональное";0
"Сокольский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";170
"Сокольский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";113
"Города областного подчинения Нижегородской области";"Лицо";"Не указавшие образование";0
"Города областного подчинения Нижегородской области";"Лицо";"Начальное общее (начальное)";0
"Города областного подчинения Нижегородской области";"Лицо";"Основное общее (неполное среднее)";0
"Города областного подчинения Нижегородской области";"Лицо";"Среднее (полное) общее";0
"Города областного подчинения Нижегородской области";"Лицо";"Среднее профессиональное (среднее специальное)";0
"Города областного подчинения Нижегородской области";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";0
"Города областного подчинения Нижегородской области";"Лицо";"Высшее профессиональное (высшее)";0
"Города областного подчинения Нижегородской области";"Лицо";"Послевузовское профессиональное";0
"Города областного подчинения Нижегородской области";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";0
"Города областного подчинения Нижегородской области";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";0
"г. Нижний Новгород";"Лицо";"Не указавшие образование";100791
"г. Нижний Новгород";"Лицо";"Начальное общее (начальное)";132791
"г. Нижний Новгород";"Лицо";"Основное общее (неполное среднее)";185884
"г. Нижний Новгород";"Лицо";"Среднее (полное) общее";290319
"г. Нижний Новгород";"Лицо";"Среднее профессиональное (среднее специальное)";301991
"г. Нижний Новгород";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";44866
"г. Нижний Новгород";"Лицо";"Высшее профессиональное (высшее)";241209
"г. Нижний Новгород";"Лицо";"Послевузовское профессиональное";4883
"г. Нижний Новгород";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";2406
"г. Нижний Новгород";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";1831
"г. Арзамас";"Лицо";"Не указавшие образование";9434
"г. Арзамас";"Лицо";"Начальное общее (начальное)";11031
"г. Арзамас";"Лицо";"Основное общее (неполное среднее)";13997
"г. Арзамас";"Лицо";"Среднее (полное) общее";25244
"г. Арзамас";"Лицо";"Среднее профессиональное (среднее специальное)";29756
"г. Арзамас";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";2596
"г. Арзамас";"Лицо";"Высшее профессиональное (высшее)";15448
"г. Арзамас";"Лицо";"Послевузовское профессиональное";205
"г. Арзамас";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";328
"г. Арзамас";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";275
"г. Балахна";"Лицо";"Не указавшие образование";4669
"г. Балахна";"Лицо";"Начальное общее (начальное)";7907
"г. Балахна";"Лицо";"Основное общее (неполное среднее)";8760
"г. Балахна";"Лицо";"Среднее (полное) общее";11008
"г. Балахна";"Лицо";"Среднее профессиональное (среднее специальное)";16700
"г. Балахна";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";1329
"г. Балахна";"Лицо";"Высшее профессиональное (высшее)";6181
"г. Балахна";"Лицо";"Послевузовское профессиональное";121
"г. Балахна";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";284
"г. Балахна";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";146
"г. Богородск";"Лицо";"Не указавшие образование";2732
"г. Богородск";"Лицо";"Начальное общее (начальное)";5439
"г. Богородск";"Лицо";"Основное общее (неполное среднее)";7374
"г. Богородск";"Лицо";"Среднее (полное) общее";7520
"г. Богородск";"Лицо";"Среднее профессиональное (среднее специальное)";8371
"г. Богородск";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";407
"г. Богородск";"Лицо";"Высшее профессиональное (высшее)";2950
"г. Богородск";"Лицо";"Послевузовское профессиональное";22
"г. Богородск";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";119
"г. Богородск";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";137
"г. Бор";"Лицо";"Не указавшие образование";5030
"г. Бор";"Лицо";"Начальное общее (начальное)";8028
"г. Бор";"Лицо";"Основное общее (неполное среднее)";10964
"г. Бор";"Лицо";"Среднее (полное) общее";12178
"г. Бор";"Лицо";"Среднее профессиональное (среднее специальное)";14475
"г. Бор";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";1416
"г. Бор";"Лицо";"Высшее профессиональное (высшее)";6921
"г. Бор";"Лицо";"Послевузовское профессиональное";109
"г. Бор";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";307
"г. Бор";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";223
"г. Выкса";"Лицо";"Не указавшие образование";5980
"г. Выкса";"Лицо";"Начальное общее (начальное)";7365
"г. Выкса";"Лицо";"Основное общее (неполное среднее)";10832
"г. Выкса";"Лицо";"Среднее (полное) общее";15562
"г. Выкса";"Лицо";"Среднее профессиональное (среднее специальное)";14830
"г. Выкса";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";917
"г. Выкса";"Лицо";"Высшее профессиональное (высшее)";5711
"г. Выкса";"Лицо";"Послевузовское профессиональное";116
"г. Выкса";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";119
"г. Выкса";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";141
"г. Городец";"Лицо";"Не указавшие образование";2695
"г. Городец";"Лицо";"Начальное общее (начальное)";4899
"г. Городец";"Лицо";"Основное общее (неполное среднее)";5900
"г. Городец";"Лицо";"Среднее (полное) общее";6223
"г. Городец";"Лицо";"Среднее профессиональное (среднее специальное)";7771
"г. Городец";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";525
"г. Городец";"Лицо";"Высшее профессиональное (высшее)";3471
"г. Городец";"Лицо";"Послевузовское профессиональное";37
"г. Городец";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";143
"г. Городец";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";123
"Сельские населенные пункты, подчиненные администрации г. Дзержинска";"Лицо";"Не указавшие образование";21287
"Сельские населенные пункты, подчиненные администрации г. Дзержинска";"Лицо";"Начальное общее (начальное)";29789
"Сельские населенные пункты, подчиненные администрации г. Дзержинска";"Лицо";"Основное общее (неполное среднее)";43566
"Сельские населенные пункты, подчиненные администрации г. Дзержинска";"Лицо";"Среднее (полное) общее";65759
"Сельские населенные пункты, подчиненные администрации г. Дзержинска";"Лицо";"Среднее профессиональное (среднее специальное)";63682
"Сельские населенные пункты, подчиненные администрации г. Дзержинска";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";6207
"Сельские населенные пункты, подчиненные администрации г. Дзержинска";"Лицо";"Высшее профессиональное (высшее)";35044
"Сельские населенные пункты, подчиненные администрации г. Дзержинска";"Лицо";"Послевузовское профессиональное";567
"Сельские населенные пункты, подчиненные администрации г. Дзержинска";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";531
"Сельские населенные пункты, подчиненные администрации г. Дзержинска";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";446
"г. Кстово";"Лицо";"Не указавшие образование";5843
"г. Кстово";"Лицо";"Начальное общее (начальное)";8470
"г. Кстово";"Лицо";"Основное общее (неполное среднее)";8850
"г. Кстово";"Лицо";"Среднее (полное) общее";13633
"г. Кстово";"Лицо";"Среднее профессиональное (среднее специальное)";17723
"г. Кстово";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";1795
"г. Кстово";"Лицо";"Высшее профессиональное (высшее)";9173
"г. Кстово";"Лицо";"Послевузовское профессиональное";92
"г. Кстово";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";152
"г. Кстово";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";135
"Сельские населенные пункты, подчиненные администрации г. Кулебаки";"Лицо";"Не указавшие образование";3331
"Сельские населенные пункты, подчиненные администрации г. Кулебаки";"Лицо";"Начальное общее (начальное)";5240
"Сельские населенные пункты, подчиненные администрации г. Кулебаки";"Лицо";"Основное общее (неполное среднее)";6936
"Сельские населенные пункты, подчиненные администрации г. Кулебаки";"Лицо";"Среднее (полное) общее";11199
"Сельские населенные пункты, подчиненные администрации г. Кулебаки";"Лицо";"Среднее профессиональное (среднее специальное)";9039
"Сельские населенные пункты, подчиненные администрации г. Кулебаки";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";411
"Сельские населенные пункты, подчиненные администрации г. Кулебаки";"Лицо";"Высшее профессиональное (высшее)";2626
"Сельские населенные пункты, подчиненные администрации г. Кулебаки";"Лицо";"Послевузовское профессиональное";38
"Сельские населенные пункты, подчиненные администрации г. Кулебаки";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";129
"Сельские населенные пункты, подчиненные администрации г. Кулебаки";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";121
"г. Павлово";"Лицо";"Не указавшие образование";5216
"г. Павлово";"Лицо";"Начальное общее (начальное)";8716
"г. Павлово";"Лицо";"Основное общее (неполное среднее)";11730
"г. Павлово";"Лицо";"Среднее (полное) общее";14758
"г. Павлово";"Лицо";"Среднее профессиональное (среднее специальное)";16687
"г. Павлово";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";907
"г. Павлово";"Лицо";"Высшее профессиональное (высшее)";6242
"г. Павлово";"Лицо";"Послевузовское профессиональное";51
"г. Павлово";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";192
"г. Павлово";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";169
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления";"Лицо";"Не указавшие образование";0
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления";"Лицо";"Начальное общее (начальное)";0
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления";"Лицо";"Основное общее (неполное среднее)";0
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления";"Лицо";"Среднее (полное) общее";0
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления";"Лицо";"Среднее профессиональное (среднее специальное)";0
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";0
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления";"Лицо";"Высшее профессиональное (высшее)";0
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления";"Лицо";"Послевузовское профессиональное";0
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";0
"Города областного подчинения Нижегородской области, находящиеся в ведении федеральных органов государственной власти и управления";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";0
"г. Саров";"Лицо";"Не указавшие образование";7312
"г. Саров";"Лицо";"Начальное общее (начальное)";8253
"г. Саров";"Лицо";"Основное общее (неполное среднее)";10353
"г. Саров";"Лицо";"Среднее (полное) общее";18058
"г. Саров";"Лицо";"Среднее профессиональное (среднее специальное)";19335
"г. Саров";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";2604
"г. Саров";"Лицо";"Высшее профессиональное (высшее)";18938
"г. Саров";"Лицо";"Послевузовское профессиональное";269
"г. Саров";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";191
"г. Саров";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";127
"Всего";"Лицо";"Не указавшие образование";283779
"Всего";"Лицо";"Начальное общее (начальное)";498322
"Всего";"Лицо";"Основное общее (неполное среднее)";581124
"Всего";"Лицо";"Среднее (полное) общее";762594
"Всего";"Лицо";"Среднее профессиональное (среднее специальное)";783343
"Всего";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";77935
"Всего";"Лицо";"Высшее профессиональное (высшее)";439743
"Всего";"Лицо";"Послевузовское профессиональное";7217
"Всего";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";16189
"Всего";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";15687


"INFO";"Ячейки в этой таблице были случайно регулировать, чтобы избежать выхода конфиденциальной информации."




(c) Copyright Space-Time Research 2013
