SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Лицо and Образование by Наименование территориальной единицы"
"Counting: Лицо"

"Counting","Образование","Наименование территориальной единицы",
"Лицо","Послевузовское профессиональное","Темрюкский район",146
"Лицо","Послевузовское профессиональное","Тимашевский район",98
"Лицо","Послевузовское профессиональное","Тихорецкий район",23
"Лицо","Послевузовское профессиональное","Туапсинский район",84
"Лицо","Послевузовское профессиональное","Успенский район",26
"Лицо","Послевузовское профессиональное","Усть-Лабинский район",108
"Лицо","Послевузовское профессиональное","Щербиновский район",21
"Лицо","Послевузовское профессиональное","Города краевого подчинения Краснодарского края",0
"Лицо","Послевузовское профессиональное","г. Краснодар",3776
"Лицо","Послевузовское профессиональное","Сельские населенные пункты, подчиненные администрации г. Анапа",110
"Лицо","Послевузовское профессиональное","г. Армавир",326
"Лицо","Послевузовское профессиональное","г. Белореченск",95
"Лицо","Послевузовское профессиональное","г. Геленджик",249
"Лицо","Послевузовское профессиональное","г. Горячий Ключ",59
"Лицо","Послевузовское профессиональное","г. Ейск",125
"Лицо","Послевузовское профессиональное","г. Кропоткин",84
"Лицо","Послевузовское профессиональное","г. Крымск",73
"Лицо","Послевузовское профессиональное","Сельские населенные пункты, подчиненные администрации г. Лабинска",93
"Лицо","Послевузовское профессиональное","г. Новороссийск",735
"Лицо","Послевузовское профессиональное","г. Славянск-на-Кубани",105
"Лицо","Послевузовское профессиональное","г. Сочи",1158
"Лицо","Послевузовское профессиональное","г. Тихорецк",60
"Лицо","Послевузовское профессиональное","г. Туапсе",99
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Краснодарский край",0
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Районы Краснодарского края",0
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Абинский район",693
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Анапский район",443
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Апшеронский район",421
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Белоглинский район",391
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Белореченский район",230
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Брюховецкий район",306
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Выселковский район",394
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Гулькевичский район",617
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Динской район",582
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Ейский район",347
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Кавказский район",269
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Калининский район",388
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Каневский район",630
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Кореновский район",737
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Красноармейский район",614
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Крыловский район",304
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Крымский район",590
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Курганинский район",500
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Кущевский район",412
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Лабинский район",289
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Ленинградский район",444
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Мостовский район",481
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Новокубанский район",495
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Новопокровский район",394
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Отрадненский район",528
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Павловский район",390
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Приморско-Ахтарский район",422
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Северский район",474
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Славянский район",513
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Староминский район",521
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Тбилисский район",267
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Темрюкский район",892
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Тимашевский район",481
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Тихорецкий район",379
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Туапсинский район",450
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Успенский район",261
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Усть-Лабинский район",646
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Щербиновский район",190
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Города краевого подчинения Краснодарского края",0
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","г. Краснодар",1267
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Сельские населенные пункты, подчиненные администрации г. Анапа",128
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","г. Армавир",360
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","г. Белореченск",146
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","г. Геленджик",167
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","г. Горячий Ключ",169
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","г. Ейск",168
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","г. Кропоткин",119
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","г. Крымск",246
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","Сельские населенные пункты, подчиненные администрации г. Лабинска",234
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","г. Новороссийск",423
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","г. Славянск-на-Кубани",236
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","г. Сочи",676
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","г. Тихорецк",202
"Лицо","Не имеющие начального общего образования - умеющие читать и писать","г. Туапсе",130
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Краснодарский край",0
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Районы Краснодарского края",0
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Абинский район",445
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Анапский район",272
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Апшеронский район",408
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Белоглинский район",339
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Белореченский район",397
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Брюховецкий район",292
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Выселковский район",367
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Гулькевичский район",658
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Динской район",440
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Ейский район",244
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Кавказский район",290
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Калининский район",371
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Каневский район",576
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Кореновский район",481
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Красноармейский район",553
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Крыловский район",244
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Крымский район",548
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Курганинский район",555
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Кущевский район",451
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Лабинский район",328
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Ленинградский район",387
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Мостовский район",537
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Новокубанский район",511
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Новопокровский район",439
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Отрадненский район",750
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Павловский район",376
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Приморско-Ахтарский район",279
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Северский район",417
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Славянский район",526
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Староминский район",379
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Тбилисский район",337
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Темрюкский район",600
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Тимашевский район",463
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Тихорецкий район",436
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Туапсинский район",183
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Успенский район",310
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Усть-Лабинский район",662
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Щербиновский район",276
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Города краевого подчинения Краснодарского края",0
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","г. Краснодар",783
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Сельские населенные пункты, подчиненные администрации г. Анапа",77
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","г. Армавир",266
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","г. Белореченск",183
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","г. Геленджик",95
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","г. Горячий Ключ",195
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","г. Ейск",132
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","г. Кропоткин",197
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","г. Крымск",189
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","Сельские населенные пункты, подчиненные администрации г. Лабинска",145
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","г. Новороссийск",249
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","г. Славянск-на-Кубани",205
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","г. Сочи",456
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","г. Тихорецк",208
"Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)","г. Туапсе",61


"INFO","К значениям в таблице был применен  механизм защиты конфиденциальной информации."




(c) Copyright Space-Time Research 2013
