SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Лицо and Образование by Наименование территориальной единицы"
"Counting: Лицо"

"Counting","Образование","Наименование территориальной единицы",
"Лицо","Начальное общее (начальное)","Сельские населенные пункты, подчиненные администрации г. Анапа",6255
"Лицо","Начальное общее (начальное)","г. Армавир",20028
"Лицо","Начальное общее (начальное)","г. Белореченск",7718
"Лицо","Начальное общее (начальное)","г. Геленджик",9298
"Лицо","Начальное общее (начальное)","г. Горячий Ключ",7606
"Лицо","Начальное общее (начальное)","г. Ейск",9418
"Лицо","Начальное общее (начальное)","г. Кропоткин",8579
"Лицо","Начальное общее (начальное)","г. Крымск",7423
"Лицо","Начальное общее (начальное)","Сельские населенные пункты, подчиненные администрации г. Лабинска",8831
"Лицо","Начальное общее (начальное)","г. Новороссийск",26986
"Лицо","Начальное общее (начальное)","г. Славянск-на-Кубани",8317
"Лицо","Начальное общее (начальное)","г. Сочи",39912
"Лицо","Начальное общее (начальное)","г. Тихорецк",8266
"Лицо","Начальное общее (начальное)","г. Туапсе",5473
"Лицо","Основное общее (неполное среднее)","Краснодарский край",0
"Лицо","Основное общее (неполное среднее)","Районы Краснодарского края",0
"Лицо","Основное общее (неполное среднее)","Абинский район",16826
"Лицо","Основное общее (неполное среднее)","Анапский район",11747
"Лицо","Основное общее (неполное среднее)","Апшеронский район",17332
"Лицо","Основное общее (неполное среднее)","Белоглинский район",6626
"Лицо","Основное общее (неполное среднее)","Белореченский район",9423
"Лицо","Основное общее (неполное среднее)","Брюховецкий район",10735
"Лицо","Основное общее (неполное среднее)","Выселковский район",10967
"Лицо","Основное общее (неполное среднее)","Гулькевичский район",19503
"Лицо","Основное общее (неполное среднее)","Динской район",21363
"Лицо","Основное общее (неполное среднее)","Ейский район",8678
"Лицо","Основное общее (неполное среднее)","Кавказский район",7993
"Лицо","Основное общее (неполное среднее)","Калининский район",9241
"Лицо","Основное общее (неполное среднее)","Каневский район",19712
"Лицо","Основное общее (неполное среднее)","Кореновский район",15657
"Лицо","Основное общее (неполное среднее)","Красноармейский район",20226
"Лицо","Основное общее (неполное среднее)","Крыловский район",7511
"Лицо","Основное общее (неполное среднее)","Крымский район",14640
"Лицо","Основное общее (неполное среднее)","Курганинский район",19715
"Лицо","Основное общее (неполное среднее)","Кущевский район",14562
"Лицо","Основное общее (неполное среднее)","Лабинский район",8684
"Лицо","Основное общее (неполное среднее)","Ленинградский район",12694
"Лицо","Основное общее (неполное среднее)","Мостовский район",13178
"Лицо","Основное общее (неполное среднее)","Новокубанский район",17134
"Лицо","Основное общее (неполное среднее)","Новопокровский район",9849
"Лицо","Основное общее (неполное среднее)","Отрадненский район",13649
"Лицо","Основное общее (неполное среднее)","Павловский район",12652
"Лицо","Основное общее (неполное среднее)","Приморско-Ахтарский район",10710
