SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы by Лицо and Образование"
"Counting: Лицо"

"Наименование территориальной единицы","Counting","Образование",
"Щёлковский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",1666
"Щёлковский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",207
"Города областного подчинения Московской области","Лицо","Не указавшие образование",0
"Города областного подчинения Московской области","Лицо","Начальное общее (начальное)",0
"Города областного подчинения Московской области","Лицо","Основное общее (неполное среднее)",0
"Города областного подчинения Московской области","Лицо","Среднее (полное) общее",0
"Города областного подчинения Московской области","Лицо","Среднее профессиональное (среднее специальное)",0
"Города областного подчинения Московской области","Лицо","Неполное высшее профессиональное (незаконченное высшее)",0
"Города областного подчинения Московской области","Лицо","Высшее профессиональное (высшее)",0
"Города областного подчинения Московской области","Лицо","Послевузовское профессиональное",0
"Города областного подчинения Московской области","Лицо","Не имеющие начального общего образования - умеющие читать и писать",0
"Города областного подчинения Московской области","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",0
"г. Бронницы","Лицо","Не указавшие образование",1832
"г. Бронницы","Лицо","Начальное общее (начальное)",1697
"г. Бронницы","Лицо","Основное общее (неполное среднее)",2475
"г. Бронницы","Лицо","Среднее (полное) общее",4027
"г. Бронницы","Лицо","Среднее профессиональное (среднее специальное)",4383
"г. Бронницы","Лицо","Неполное высшее профессиональное (незаконченное высшее)",500
"г. Бронницы","Лицо","Высшее профессиональное (высшее)",3193
"г. Бронницы","Лицо","Послевузовское профессиональное",72
"г. Бронницы","Лицо","Не имеющие начального общего образования - умеющие читать и писать",38
"г. Бронницы","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",16
"г. Дзержинский","Лицо","Не указавшие образование",4764
"г. Дзержинский","Лицо","Начальное общее (начальное)",3646
"г. Дзержинский","Лицо","Основное общее (неполное среднее)",4706
"г. Дзержинский","Лицо","Среднее (полное) общее",7049
"г. Дзержинский","Лицо","Среднее профессиональное (среднее специальное)",10043
"г. Дзержинский","Лицо","Неполное высшее профессиональное (незаконченное высшее)",1427
"г. Дзержинский","Лицо","Высшее профессиональное (высшее)",9464
"г. Дзержинский","Лицо","Послевузовское профессиональное",193
"г. Дзержинский","Лицо","Не имеющие начального общего образования - умеющие читать и писать",74
"г. Дзержинский","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",45
"г. Долгопрудный","Лицо","Не указавшие образование",14044
"г. Долгопрудный","Лицо","Начальное общее (начальное)",5426
"г. Долгопрудный","Лицо","Основное общее (неполное среднее)",8487
"г. Долгопрудный","Лицо","Среднее (полное) общее",13202
"г. Долгопрудный","Лицо","Среднее профессиональное (среднее специальное)",15467
"г. Долгопрудный","Лицо","Неполное высшее профессиональное (незаконченное высшее)",2880
"г. Долгопрудный","Лицо","Высшее профессиональное (высшее)",14817
"г. Долгопрудный","Лицо","Послевузовское профессиональное",441
"г. Долгопрудный","Лицо","Не имеющие начального общего образования - умеющие читать и писать",107
"г. Долгопрудный","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",76
"г. Дубна","Лицо","Не указавшие образование",5542
"г. Дубна","Лицо","Начальное общее (начальное)",6036
"г. Дубна","Лицо","Основное общее (неполное среднее)",7364
"г. Дубна","Лицо","Среднее (полное) общее",11614
"г. Дубна","Лицо","Среднее профессиональное (среднее специальное)",14336
"г. Дубна","Лицо","Неполное высшее профессиональное (незаконченное высшее)",1949
"г. Дубна","Лицо","Высшее профессиональное (высшее)",13370
"г. Дубна","Лицо","Послевузовское профессиональное",466
"г. Дубна","Лицо","Не имеющие начального общего образования - умеющие читать и писать",125
"г. Дубна","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",76
"г. Железнодорожный","Лицо","Не указавшие образование",14585
"г. Железнодорожный","Лицо","Начальное общее (начальное)",8667
"г. Железнодорожный","Лицо","Основное общее (неполное среднее)",12012
"г. Железнодорожный","Лицо","Среднее (полное) общее",19022
"г. Железнодорожный","Лицо","Среднее профессиональное (среднее специальное)",27221
"г. Железнодорожный","Лицо","Неполное высшее профессиональное (незаконченное высшее)",3985
"г. Железнодорожный","Лицо","Высшее профессиональное (высшее)",23820
"г. Железнодорожный","Лицо","Послевузовское профессиональное",499
"г. Железнодорожный","Лицо","Не имеющие начального общего образования - умеющие читать и писать",544
"г. Железнодорожный","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",97
"г. Жуковский","Лицо","Не указавшие образование",12662
"г. Жуковский","Лицо","Начальное общее (начальное)",7206
"г. Жуковский","Лицо","Основное общее (неполное среднее)",10049
"г. Жуковский","Лицо","Среднее (полное) общее",16580
"г. Жуковский","Лицо","Среднее профессиональное (среднее специальное)",20124
"г. Жуковский","Лицо","Неполное высшее профессиональное (незаконченное высшее)",4107
"г. Жуковский","Лицо","Высшее профессиональное (высшее)",28554
"г. Жуковский","Лицо","Послевузовское профессиональное",725
"г. Жуковский","Лицо","Не имеющие начального общего образования - умеющие читать и писать",220
"г. Жуковский","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",65
"Сельские населенные пункты, подчиненные администрации г. Звенигород","Лицо","Не указавшие образование",1904
"Сельские населенные пункты, подчиненные администрации г. Звенигород","Лицо","Начальное общее (начальное)",1611
"Сельские населенные пункты, подчиненные администрации г. Звенигород","Лицо","Основное общее (неполное среднее)",2115
"Сельские населенные пункты, подчиненные администрации г. Звенигород","Лицо","Среднее (полное) общее",2841
"Сельские населенные пункты, подчиненные администрации г. Звенигород","Лицо","Среднее профессиональное (среднее специальное)",3507
"Сельские населенные пункты, подчиненные администрации г. Звенигород","Лицо","Неполное высшее профессиональное (незаконченное высшее)",377
"Сельские населенные пункты, подчиненные администрации г. Звенигород","Лицо","Высшее профессиональное (высшее)",1647
"Сельские населенные пункты, подчиненные администрации г. Звенигород","Лицо","Послевузовское профессиональное",21
"Сельские населенные пункты, подчиненные администрации г. Звенигород","Лицо","Не имеющие начального общего образования - умеющие читать и писать",23
"Сельские населенные пункты, подчиненные администрации г. Звенигород","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",27
"г. Ивантеевка","Лицо","Не указавшие образование",5585
"г. Ивантеевка","Лицо","Начальное общее (начальное)",4831
"г. Ивантеевка","Лицо","Основное общее (неполное среднее)",7436
"г. Ивантеевка","Лицо","Среднее (полное) общее",9872
"г. Ивантеевка","Лицо","Среднее профессиональное (среднее специальное)",12630
"г. Ивантеевка","Лицо","Неполное высшее профессиональное (незаконченное высшее)",1782
"г. Ивантеевка","Лицо","Высшее профессиональное (высшее)",8728
"г. Ивантеевка","Лицо","Послевузовское профессиональное",287
"г. Ивантеевка","Лицо","Не имеющие начального общего образования - умеющие читать и писать",216
"г. Ивантеевка","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",45
"Сельские населенные пункты, подчиненные администрации г. Королёв","Лицо","Не указавшие образование",22857
"Сельские населенные пункты, подчиненные администрации г. Королёв","Лицо","Начальное общее (начальное)",12652
"Сельские населенные пункты, подчиненные администрации г. Королёв","Лицо","Основное общее (неполное среднее)",17587
"Сельские населенные пункты, подчиненные администрации г. Королёв","Лицо","Среднее (полное) общее",27044
"Сельские населенные пункты, подчиненные администрации г. Королёв","Лицо","Среднее профессиональное (среднее специальное)",39083
"Сельские населенные пункты, подчиненные администрации г. Королёв","Лицо","Неполное высшее профессиональное (незаконченное высшее)",6838
"Сельские населенные пункты, подчиненные администрации г. Королёв","Лицо","Высшее профессиональное (высшее)",43164
"Сельские населенные пункты, подчиненные администрации г. Королёв","Лицо","Послевузовское профессиональное",977
"Сельские населенные пункты, подчиненные администрации г. Королёв","Лицо","Не имеющие начального общего образования - умеющие читать и писать",206
"Сельские населенные пункты, подчиненные администрации г. Королёв","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",103
"г. Климовск","Лицо","Не указавшие образование",4234
"г. Климовск","Лицо","Начальное общее (начальное)",5580
"г. Климовск","Лицо","Основное общее (неполное среднее)",7561
"г. Климовск","Лицо","Среднее (полное) общее",10880
"г. Климовск","Лицо","Среднее профессиональное (среднее специальное)",13709
"г. Климовск","Лицо","Неполное высшее профессиональное (незаконченное высшее)",1618
"г. Климовск","Лицо","Высшее профессиональное (высшее)",10611
"г. Климовск","Лицо","Послевузовское профессиональное",213
"г. Климовск","Лицо","Не имеющие начального общего образования - умеющие читать и писать",106
"г. Климовск","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",70
"г. Коломна","Лицо","Не указавшие образование",18000
"г. Коломна","Лицо","Начальное общее (начальное)",13078
"г. Коломна","Лицо","Основное общее (неполное среднее)",18975
"г. Коломна","Лицо","Среднее (полное) общее",30053
"г. Коломна","Лицо","Среднее профессиональное (среднее специальное)",32517
"г. Коломна","Лицо","Неполное высшее профессиональное (незаконченное высшее)",3983
"г. Коломна","Лицо","Высшее профессиональное (высшее)",28242
"г. Коломна","Лицо","Послевузовское профессиональное",461
"г. Коломна","Лицо","Не имеющие начального общего образования - умеющие читать и писать",252
"г. Коломна","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",184
"г. Лобня","Лицо","Не указавшие образование",6642
"г. Лобня","Лицо","Начальное общее (начальное)",6005
"г. Лобня","Лицо","Основное общее (неполное среднее)",8684
"г. Лобня","Лицо","Среднее (полное) общее",12032
"г. Лобня","Лицо","Среднее профессиональное (среднее специальное)",17334
"г. Лобня","Лицо","Неполное высшее профессиональное (незаконченное высшее)",2213
"г. Лобня","Лицо","Высшее профессиональное (высшее)",11085
"г. Лобня","Лицо","Послевузовское профессиональное",440
"г. Лобня","Лицо","Не имеющие начального общего образования - умеющие читать и писать",115
"г. Лобня","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",45
"г. Лыткарино","Лицо","Не указавшие образование",5525
"г. Лыткарино","Лицо","Начальное общее (начальное)",4910
"г. Лыткарино","Лицо","Основное общее (неполное среднее)",6883
"г. Лыткарино","Лицо","Среднее (полное) общее",8977
"г. Лыткарино","Лицо","Среднее профессиональное (среднее специальное)",12759
"г. Лыткарино","Лицо","Неполное высшее профессиональное (незаконченное высшее)",1681
"г. Лыткарино","Лицо","Высшее профессиональное (высшее)",9722
"г. Лыткарино","Лицо","Послевузовское профессиональное",138
"г. Лыткарино","Лицо","Не имеющие начального общего образования - умеющие читать и писать",137
"г. Лыткарино","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",37
"г. Красноармейск","Лицо","Не указавшие образование",2395
"г. Красноармейск","Лицо","Начальное общее (начальное)",2921
"г. Красноармейск","Лицо","Основное общее (неполное среднее)",3645
"г. Красноармейск","Лицо","Среднее (полное) общее",6332
"г. Красноармейск","Лицо","Среднее профессиональное (среднее специальное)",5321
"г. Красноармейск","Лицо","Неполное высшее профессиональное (незаконченное высшее)",622
"г. Красноармейск","Лицо","Высшее профессиональное (высшее)",4465
"г. Красноармейск","Лицо","Послевузовское профессиональное",106
"г. Красноармейск","Лицо","Не имеющие начального общего образования - умеющие читать и писать",59
"г. Красноармейск","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",22
"г. Орехово-Зуево","Лицо","Не указавшие образование",11416
"г. Орехово-Зуево","Лицо","Начальное общее (начальное)",13353
"г. Орехово-Зуево","Лицо","Основное общее (неполное среднее)",20529
"г. Орехово-Зуево","Лицо","Среднее (полное) общее",23383
"г. Орехово-Зуево","Лицо","Среднее профессиональное (среднее специальное)",32314
"г. Орехово-Зуево","Лицо","Неполное высшее профессиональное (незаконченное высшее)",3222
"г. Орехово-Зуево","Лицо","Высшее профессиональное (высшее)",16023
"г. Орехово-Зуево","Лицо","Послевузовское профессиональное",317
"г. Орехово-Зуево","Лицо","Не имеющие начального общего образования - умеющие читать и писать",342
"г. Орехово-Зуево","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",162
"г. Подольск","Лицо","Не указавшие образование",24561
"г. Подольск","Лицо","Начальное общее (начальное)",16248
"г. Подольск","Лицо","Основное общее (неполное среднее)",23098
"г. Подольск","Лицо","Среднее (полное) общее",32009
"г. Подольск","Лицо","Среднее профессиональное (среднее специальное)",45635
"г. Подольск","Лицо","Неполное высшее профессиональное (незаконченное высшее)",6066
"г. Подольск","Лицо","Высшее профессиональное (высшее)",32000
"г. Подольск","Лицо","Послевузовское профессиональное",655
"г. Подольск","Лицо","Не имеющие начального общего образования - умеющие читать и писать",312
"г. Подольск","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",194
"г. Пущино","Лицо","Не указавшие образование",2392
"г. Пущино","Лицо","Начальное общее (начальное)",1908
"г. Пущино","Лицо","Основное общее (неполное среднее)",1945
"г. Пущино","Лицо","Среднее (полное) общее",4227
"г. Пущино","Лицо","Среднее профессиональное (среднее специальное)",3998
"г. Пущино","Лицо","Неполное высшее профессиональное (незаконченное высшее)",583
"г. Пущино","Лицо","Высшее профессиональное (высшее)",4279
"г. Пущино","Лицо","Послевузовское профессиональное",575
"г. Пущино","Лицо","Не имеющие начального общего образования - умеющие читать и писать",34
"г. Пущино","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",9
"г. Реутов","Лицо","Не указавшие образование",7665
"г. Реутов","Лицо","Начальное общее (начальное)",5989
"г. Реутов","Лицо","Основное общее (неполное среднее)",8429
"г. Реутов","Лицо","Среднее (полное) общее",13220
"г. Реутов","Лицо","Среднее профессиональное (среднее специальное)",17131
"г. Реутов","Лицо","Неполное высшее профессиональное (незаконченное высшее)",3684
"г. Реутов","Лицо","Высшее профессиональное (высшее)",19331
"г. Реутов","Лицо","Послевузовское профессиональное",340
"г. Реутов","Лицо","Не имеющие начального общего образования - умеющие читать и писать",199
"г. Реутов","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",64
"г. Рошаль","Лицо","Не указавшие образование",2871
"г. Рошаль","Лицо","Начальное общее (начальное)",2516
"г. Рошаль","Лицо","Основное общее (неполное среднее)",3562
"г. Рошаль","Лицо","Среднее (полное) общее",4567
"г. Рошаль","Лицо","Среднее профессиональное (среднее специальное)",6798
"г. Рошаль","Лицо","Неполное высшее профессиональное (незаконченное высшее)",324
"г. Рошаль","Лицо","Высшее профессиональное (высшее)",1640
"г. Рошаль","Лицо","Послевузовское профессиональное",32
"г. Рошаль","Лицо","Не имеющие начального общего образования - умеющие читать и писать",60
"г. Рошаль","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",40
"г. Протвино","Лицо","Не указавшие образование",4117
"г. Протвино","Лицо","Начальное общее (начальное)",2910
"г. Протвино","Лицо","Основное общее (неполное среднее)",4091
"г. Протвино","Лицо","Среднее (полное) общее",6705
"г. Протвино","Лицо","Среднее профессиональное (среднее специальное)",9260
"г. Протвино","Лицо","Неполное высшее профессиональное (незаконченное высшее)",1139
"г. Протвино","Лицо","Высшее профессиональное (высшее)",7669
"г. Протвино","Лицо","Послевузовское профессиональное",197
"г. Протвино","Лицо","Не имеющие начального общего образования - умеющие читать и писать",55
"г. Протвино","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",36
"г. Серпухов","Лицо","Не указавшие образование",10907
"г. Серпухов","Лицо","Начальное общее (начальное)",11916
"г. Серпухов","Лицо","Основное общее (неполное среднее)",17527
"г. Серпухов","Лицо","Среднее (полное) общее",28222
"г. Серпухов","Лицо","Среднее профессиональное (среднее специальное)",33554
"г. Серпухов","Лицо","Неполное высшее профессиональное (незаконченное высшее)",3251
"г. Серпухов","Лицо","Высшее профессиональное (высшее)",21708
"г. Серпухов","Лицо","Послевузовское профессиональное",401
"г. Серпухов","Лицо","Не имеющие начального общего образования - умеющие читать и писать",233
"г. Серпухов","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",138
"г. Троицк","Лицо","Не указавшие образование",4961
"г. Троицк","Лицо","Начальное общее (начальное)",2466
"г. Троицк","Лицо","Основное общее (неполное среднее)",2589
"г. Троицк","Лицо","Среднее (полное) общее",6034
"г. Троицк","Лицо","Среднее профессиональное (среднее специальное)",6474
"г. Троицк","Лицо","Неполное высшее профессиональное (незаконченное высшее)",1414
"г. Троицк","Лицо","Высшее профессиональное (высшее)",8229
"г. Троицк","Лицо","Послевузовское профессиональное",407
"г. Троицк","Лицо","Не имеющие начального общего образования - умеющие читать и писать",55
"г. Троицк","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",18
"г. Фрязино","Лицо","Не указавшие образование",5989
"г. Фрязино","Лицо","Начальное общее (начальное)",4212
"г. Фрязино","Лицо","Основное общее (неполное среднее)",5687
"г. Фрязино","Лицо","Среднее (полное) общее",9577
"г. Фрязино","Лицо","Среднее профессиональное (среднее специальное)",11934
"г. Фрязино","Лицо","Неполное высшее профессиональное (незаконченное высшее)",1857
"г. Фрязино","Лицо","Высшее профессиональное (высшее)",12504
"г. Фрязино","Лицо","Послевузовское профессиональное",404
"г. Фрязино","Лицо","Не имеющие начального общего образования - умеющие читать и писать",118
"г. Фрязино","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",65
"Сельские населенные пункты, подчиненные администрации г. Щербинка","Лицо","Не указавшие образование",3128
"Сельские населенные пункты, подчиненные администрации г. Щербинка","Лицо","Начальное общее (начальное)",2479
"Сельские населенные пункты, подчиненные администрации г. Щербинка","Лицо","Основное общее (неполное среднее)",3276
"Сельские населенные пункты, подчиненные администрации г. Щербинка","Лицо","Среднее (полное) общее",5195
"Сельские населенные пункты, подчиненные администрации г. Щербинка","Лицо","Среднее профессиональное (среднее специальное)",7086
"Сельские населенные пункты, подчиненные администрации г. Щербинка","Лицо","Неполное высшее профессиональное (незаконченное высшее)",891
"Сельские населенные пункты, подчиненные администрации г. Щербинка","Лицо","Высшее профессиональное (высшее)",5555
"Сельские населенные пункты, подчиненные администрации г. Щербинка","Лицо","Послевузовское профессиональное",120
"Сельские населенные пункты, подчиненные администрации г. Щербинка","Лицо","Не имеющие начального общего образования - умеющие читать и писать",79
"Сельские населенные пункты, подчиненные администрации г. Щербинка","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",22
"г. Электросталь","Лицо","Не указавшие образование",11513
"г. Электросталь","Лицо","Начальное общее (начальное)",13684
"г. Электросталь","Лицо","Основное общее (неполное среднее)",19942
"г. Электросталь","Лицо","Среднее (полное) общее",29365
"г. Электросталь","Лицо","Среднее профессиональное (среднее специальное)",38985
"г. Электросталь","Лицо","Неполное высшее профессиональное (незаконченное высшее)",4588
"г. Электросталь","Лицо","Высшее профессиональное (высшее)",26182
"г. Электросталь","Лицо","Послевузовское профессиональное",489
"г. Электросталь","Лицо","Не имеющие начального общего образования - умеющие читать и писать",366
"г. Электросталь","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",137
"г. Юбилейный","Лицо","Не указавшие образование",3105
"г. Юбилейный","Лицо","Начальное общее (начальное)",2138
"г. Юбилейный","Лицо","Основное общее (неполное среднее)",2133
"г. Юбилейный","Лицо","Среднее (полное) общее",3986
"г. Юбилейный","Лицо","Среднее профессиональное (среднее специальное)",5654
"г. Юбилейный","Лицо","Неполное высшее профессиональное (незаконченное высшее)",1147
"г. Юбилейный","Лицо","Высшее профессиональное (высшее)",12081
"г. Юбилейный","Лицо","Послевузовское профессиональное",522
"г. Юбилейный","Лицо","Не имеющие начального общего образования - умеющие читать и писать",11
"г. Юбилейный","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",19
"Города областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Не указавшие образование",0
"Города областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Начальное общее (начальное)",0
"Города областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Основное общее (неполное среднее)",0
"Города областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Среднее (полное) общее",0
"Города областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Среднее профессиональное (среднее специальное)",0
"Города областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Неполное высшее профессиональное (незаконченное высшее)",0
"Города областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Высшее профессиональное (высшее)",0
"Города областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Послевузовское профессиональное",0
"Города областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Не имеющие начального общего образования - умеющие читать и писать",0
"Города областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",0
"г. Краснознаменск","Лицо","Не указавшие образование",3495
"г. Краснознаменск","Лицо","Начальное общее (начальное)",2097
"г. Краснознаменск","Лицо","Основное общее (неполное среднее)",1738
"г. Краснознаменск","Лицо","Среднее (полное) общее",3059
"г. Краснознаменск","Лицо","Среднее профессиональное (среднее специальное)",5794
"г. Краснознаменск","Лицо","Неполное высшее профессиональное (незаконченное высшее)",1309
"г. Краснознаменск","Лицо","Высшее профессиональное (высшее)",9731
"г. Краснознаменск","Лицо","Послевузовское профессиональное",201
"г. Краснознаменск","Лицо","Не имеющие начального общего образования - умеющие читать и писать",6
"г. Краснознаменск","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",15
"Поселки городского типа областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Не указавшие образование",0
"Поселки городского типа областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Начальное общее (начальное)",0
"Поселки городского типа областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Основное общее (неполное среднее)",0
"Поселки городского типа областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Среднее (полное) общее",0
"Поселки городского типа областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Среднее профессиональное (среднее специальное)",0
"Поселки городского типа областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Неполное высшее профессиональное (незаконченное высшее)",0
"Поселки городского типа областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Высшее профессиональное (высшее)",0
"Поселки городского типа областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Послевузовское профессиональное",0
"Поселки городского типа областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Не имеющие начального общего образования - умеющие читать и писать",0
"Поселки городского типа областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",0
"пгт. Молодёжный","Лицо","Не указавшие образование",258
"пгт. Молодёжный","Лицо","Начальное общее (начальное)",199
"пгт. Молодёжный","Лицо","Основное общее (неполное среднее)",276
"пгт. Молодёжный","Лицо","Среднее (полное) общее",572
"пгт. Молодёжный","Лицо","Среднее профессиональное (среднее специальное)",634
"пгт. Молодёжный","Лицо","Неполное высшее профессиональное (незаконченное высшее)",82
"пгт. Молодёжный","Лицо","Высшее профессиональное (высшее)",445
"пгт. Молодёжный","Лицо","Послевузовское профессиональное",0
"пгт. Молодёжный","Лицо","Не имеющие начального общего образования - умеющие читать и писать",0
"пгт. Молодёжный","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",0
"пгт. Восход","Лицо","Не указавшие образование",222
"пгт. Восход","Лицо","Начальное общее (начальное)",150
"пгт. Восход","Лицо","Основное общее (неполное среднее)",112
"пгт. Восход","Лицо","Среднее (полное) общее",400
"пгт. Восход","Лицо","Среднее профессиональное (среднее специальное)",494
"пгт. Восход","Лицо","Неполное высшее профессиональное (незаконченное высшее)",39
"пгт. Восход","Лицо","Высшее профессиональное (высшее)",290
"пгт. Восход","Лицо","Послевузовское профессиональное",10
"пгт. Восход","Лицо","Не имеющие начального общего образования - умеющие читать и писать",0
"пгт. Восход","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",0
"пгт. Приокск","Лицо","Не указавшие образование",496
"пгт. Приокск","Лицо","Начальное общее (начальное)",375
"пгт. Приокск","Лицо","Основное общее (неполное среднее)",483
"пгт. Приокск","Лицо","Среднее (полное) общее",1222
"пгт. Приокск","Лицо","Среднее профессиональное (среднее специальное)",1650
"пгт. Приокск","Лицо","Неполное высшее профессиональное (незаконченное высшее)",180
"пгт. Приокск","Лицо","Высшее профессиональное (высшее)",1749
"пгт. Приокск","Лицо","Послевузовское профессиональное",14
"пгт. Приокск","Лицо","Не имеющие начального общего образования - умеющие читать и писать",0
"пгт. Приокск","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",0
"Total","Лицо","Не указавшие образование",695280
"Total","Лицо","Начальное общее (начальное)",659490
"Total","Лицо","Основное общее (неполное среднее)",908248
"Total","Лицо","Среднее (полное) общее",1284728
"Total","Лицо","Среднее профессиональное (среднее специальное)",1554290
"Total","Лицо","Неполное высшее профессиональное (незаконченное высшее)",201295
"Total","Лицо","Высшее профессиональное (высшее)",1143099
"Total","Лицо","Послевузовское профессиональное",26437
"Total","Лицо","Не имеющие начального общего образования - умеющие читать и писать",15778
"Total","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",8786


"INFO","Ячейки в этой таблице были случайно регулировать, чтобы избежать выхода конфиденциальной информации."




(c) Copyright Space-Time Research 2013
