SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Лицо and Материал наружных стен дома by Наименование территориальной единицы"
"Counting: Лицо"

"Counting","Материал наружных стен дома","Наименование территориальной единицы",
"Лицо","Панель","Крымский район",2636
"Лицо","Панель","Курганинский район",1474
"Лицо","Панель","Кущевский район",2057
"Лицо","Панель","Лабинский район",366
"Лицо","Панель","Ленинградский район",1271
"Лицо","Панель","Мостовский район",4700
"Лицо","Панель","Новокубанский район",2855
"Лицо","Панель","Новопокровский район",1560
"Лицо","Панель","Отрадненский район",1133
"Лицо","Панель","Павловский район",1594
"Лицо","Панель","Приморско-Ахтарский район",3610
"Лицо","Панель","Северский район",4259
"Лицо","Панель","Славянский район",8170
"Лицо","Панель","Староминский район",311
"Лицо","Панель","Тбилисский район",710
"Лицо","Панель","Темрюкский район",4864
"Лицо","Панель","Тимашевский район",4034
"Лицо","Панель","Тихорецкий район",2073
"Лицо","Панель","Туапсинский район",3296
"Лицо","Панель","Успенский район",1668
"Лицо","Панель","Усть-Лабинский район",126
"Лицо","Панель","Щербиновский район",59
"Лицо","Панель","Города краевого подчинения Краснодарского края",0
"Лицо","Панель","г. Краснодар",120538
"Лицо","Панель","Сельские населенные пункты, подчиненные администрации г. Анапа",16327
"Лицо","Панель","г. Армавир",38970
"Лицо","Панель","г. Белореченск",6819
"Лицо","Панель","г. Геленджик",13445
"Лицо","Панель","г. Горячий Ключ",2606
"Лицо","Панель","г. Ейск",7321
"Лицо","Панель","г. Кропоткин",11039
"Лицо","Панель","г. Крымск",6224
"Лицо","Панель","Сельские населенные пункты, подчиненные администрации г. Лабинска",1394
"Лицо","Панель","г. Новороссийск",84567
"Лицо","Панель","г. Славянск-на-Кубани",5613
"Лицо","Панель","г. Сочи",146287
"Лицо","Панель","г. Тихорецк",2765
"Лицо","Панель","г. Туапсе",11546
"Лицо","Блок","Краснодарский край",0
"Лицо","Блок","Районы Краснодарского края",0
"Лицо","Блок","Абинский район",15365
"Лицо","Блок","Анапский район",21846
"Лицо","Блок","Апшеронский район",3323
"Лицо","Блок","Белоглинский район",640
"Лицо","Блок","Белореченский район",4035
"Лицо","Блок","Брюховецкий район",4044
"Лицо","Блок","Выселковский район",3073
"Лицо","Блок","Гулькевичский район",5738
"Лицо","Блок","Динской район",6274
"Лицо","Блок","Ейский район",3023
"Лицо","Блок","Кавказский район",1251
"Лицо","Блок","Калининский район",7052
"Лицо","Блок","Каневский район",11966
"Лицо","Блок","Кореновский район",3239
"Лицо","Блок","Красноармейский район",10754
"Лицо","Блок","Крыловский район",1719
"Лицо","Блок","Крымский район",21029
"Лицо","Блок","Курганинский район",17767
"Лицо","Блок","Кущевский район",4137
"Лицо","Блок","Лабинский район",6224
"Лицо","Блок","Ленинградский район",2293
"Лицо","Блок","Мостовский район",13145
"Лицо","Блок","Новокубанский район",4030
"Лицо","Блок","Новопокровский район",1654
"Лицо","Блок","Отрадненский район",1572
"Лицо","Блок","Павловский район",2993
"Лицо","Блок","Приморско-Ахтарский район",12567
"Лицо","Блок","Северский район",11622
"Лицо","Блок","Славянский район",15329
"Лицо","Блок","Староминский район",1520
"Лицо","Блок","Тбилисский район",423
"Лицо","Блок","Темрюкский район",13417
"Лицо","Блок","Тимашевский район",9393
"Лицо","Блок","Тихорецкий район",1295
"Лицо","Блок","Туапсинский район",8075
"Лицо","Блок","Успенский район",973
"Лицо","Блок","Усть-Лабинский район",1464
"Лицо","Блок","Щербиновский район",987
"Лицо","Блок","Города краевого подчинения Краснодарского края",0
"Лицо","Блок","г. Краснодар",116464
"Лицо","Блок","Сельские населенные пункты, подчиненные администрации г. Анапа",10787
"Лицо","Блок","г. Армавир",3498
"Лицо","Блок","г. Белореченск",8896
"Лицо","Блок","г. Геленджик",11061
"Лицо","Блок","г. Горячий Ключ",3459
"Лицо","Блок","г. Ейск",5649
"Лицо","Блок","г. Кропоткин",1234
"Лицо","Блок","г. Крымск",10825
"Лицо","Блок","Сельские населенные пункты, подчиненные администрации г. Лабинска",7926
"Лицо","Блок","г. Новороссийск",65838
"Лицо","Блок","г. Славянск-на-Кубани",4631
"Лицо","Блок","г. Сочи",62765
"Лицо","Блок","г. Тихорецк",781
"Лицо","Блок","г. Туапсе",3360
"Лицо","Дерево","Краснодарский край",0
"Лицо","Дерево","Районы Краснодарского края",0
"Лицо","Дерево","Абинский район",3439
"Лицо","Дерево","Анапский район",264
