SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Лицо and Материал наружных стен дома by Наименование территориальной единицы"
"Counting: Лицо"

"Counting","Материал наружных стен дома","Наименование территориальной единицы",
"Лицо","Панель","Хостинский район",24317
"Лицо","Панель","Центральный район",66373
"Лицо","Панель","Адлерский район г. Сочи с подчиненными непосредственно его администрации сельскими населенными пунктами",0
"Лицо","Панель","Лазаревский район г. Сочи с подчиненными непосредственно его администрации сельскими населенными пунктами",0
"Лицо","Панель","Хостинский район г. Сочи с подчиненными непосредственно его администрации сельскими населенными пунктами",0
"Лицо","Панель","Поселки городского типа, подчиненные администрации Адлерского района г. Сочи",0
"Лицо","Панель","Сельские населенные пункты, подчиненные администрации пгт. Красная Поляна, находящегося в подчинении администрации Адлерского района г. Сочи",237
"Лицо","Панель","Населенные пункты, подчиненные администрации г. Сочи",0
"Лицо","Панель","Сельские округа, подчиненные администрации Адлерского района г. Сочи",0
"Лицо","Панель","Кудепстинский сельский округ",216
"Лицо","Панель","Молдовский сельский округ",1871
"Лицо","Панель","Нижнешиловский сельский округ",592
"Лицо","Панель","Сельские округа, подчиненные администрации Лазаревского района г. Сочи",0
"Лицо","Панель","Верхнелооский сельский округ",211
"Лицо","Панель","Волковский сельский округ",815
"Лицо","Панель","Кировский сельский округ",12
"Лицо","Панель","Кичмайский сельский округ",0
"Лицо","Панель","Лыготхский сельский округ",0
"Лицо","Панель","Солохаульский сельский округ",32
"Лицо","Панель","Сельские округа, подчиненные администрации Хостинского района г. Сочи",0
"Лицо","Панель","Барановский сельский округ",83
"Лицо","Панель","Раздольский сельский округ",345
"Лицо","Блок","г. Сочи",0
"Лицо","Блок","Населенные пункты, подчиненные администрации Адлерского района г.Сочи",0
"Лицо","Блок","Населенные пункты, подчиненные администрации Лазаревского района г.Сочи",0
"Лицо","Блок","Населенные пункты, подчиненные администрации Хостинского района г.Сочи",0
"Лицо","Блок","г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Блок","пгт. Красная Поляна с подчиненными его администрации населенными пунктами, находящийся в подчинении администрации Адлерского района г. Сочи",0
"Лицо","Блок","Адлерский район г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Блок","Лазаревский район г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Блок","Хостинский район г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Блок","г. Сочи с подчиненными непосредственно администрациям его районов населенными пунктами",0
"Лицо","Блок","Районы г. Сочи",0
"Лицо","Блок","Адлерский район",11005
"Лицо","Блок","Лазаревский район",6845
"Лицо","Блок","Хостинский район",6783
"Лицо","Блок","Центральный район",15506
"Лицо","Блок","Адлерский район г. Сочи с подчиненными непосредственно его администрации сельскими населенными пунктами",0
"Лицо","Блок","Лазаревский район г. Сочи с подчиненными непосредственно его администрации сельскими населенными пунктами",0
"Лицо","Блок","Хостинский район г. Сочи с подчиненными непосредственно его администрации сельскими населенными пунктами",0
"Лицо","Блок","Поселки городского типа, подчиненные администрации Адлерского района г. Сочи",0
