SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Образование"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Образование";
"Лоухский район";"Лицо";"Высшее профессиональное (высшее)";1126
"Лоухский район";"Лицо";"Послевузовское профессиональное";15
"Лоухский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";89
"Лоухский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";87
"Медвежьегорский район";"Лицо";"Не указавшие образование";3427
"Медвежьегорский район";"Лицо";"Начальное общее (начальное)";6077
"Медвежьегорский район";"Лицо";"Основное общее (неполное среднее)";7904
"Медвежьегорский район";"Лицо";"Среднее (полное) общее";8309
"Медвежьегорский район";"Лицо";"Среднее профессиональное (среднее специальное)";8140
"Медвежьегорский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";306
"Медвежьегорский район";"Лицо";"Высшее профессиональное (высшее)";2426
"Медвежьегорский район";"Лицо";"Послевузовское профессиональное";17
"Медвежьегорский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";148
"Медвежьегорский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";139
"Муезерский район";"Лицо";"Не указавшие образование";1506
"Муезерский район";"Лицо";"Начальное общее (начальное)";3006
"Муезерский район";"Лицо";"Основное общее (неполное среднее)";3556
"Муезерский район";"Лицо";"Среднее (полное) общее";4139
"Муезерский район";"Лицо";"Среднее профессиональное (среднее специальное)";2924
"Муезерский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";94
"Муезерский район";"Лицо";"Высшее профессиональное (высшее)";806
"Муезерский район";"Лицо";"Послевузовское профессиональное";0
"Муезерский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";115
"Муезерский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";88
"Олонецкий район";"Лицо";"Не указавшие образование";2596
"Олонецкий район";"Лицо";"Начальное общее (начальное)";4845
"Олонецкий район";"Лицо";"Основное общее (неполное среднее)";5630
"Олонецкий район";"Лицо";"Среднее (полное) общее";5476
"Олонецкий район";"Лицо";"Среднее профессиональное (среднее специальное)";5542
"Олонецкий район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";234
"Олонецкий район";"Лицо";"Высшее профессиональное (высшее)";1910
"Олонецкий район";"Лицо";"Послевузовское профессиональное";4
"Олонецкий район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";205
"Олонецкий район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";145
"Питкярантский район";"Лицо";"Не указавшие образование";965
