"","region","year","value","age"
"128","Сергиево-Посадский район",1904,0.00308993475823468,98
"129","Серебряно-Прудский район",1904,NA,98
"130","Серпуховский район",1904,NA,98
"131","Солнечногорский район",1904,NA,98
"132","Ступинский район",1904,NA,98
"133","Талдомский район",1904,NA,98
"134","Химкинский район",1904,0.00405865333882218,98
"135","Чеховский район",1904,NA,98
"136","Шатурский район",1904,0.0128055547650892,98
"137","Шаховской район",1904,NA,98
"138","Щёлковский район",1904,NA,98
"139","Балашихинский район",1905,0.00975912190865462,97
"140","Волоколамский район",1905,NA,97
"141","Воскресенский район",1905,0.0033034917908229,97
"142","г. Бронницы",1905,NA,97
"143","г. Дзержинский",1905,NA,97
"144","г. Долгопрудный",1905,0.00947290073753299,97
"145","г. Дубна",1905,NA,97
"146","г. Железнодорожный",1905,0.0100275301281701,97
"147","г. Жуковский",1905,NA,97
"148","г. Ивантеевка",1905,0.0156457795509661,97
"149","г. Климовск",1905,NA,97
"150","г. Коломна",1905,0.0075816056462285,97
"151","г. Красноармейск",1905,NA,97
"152","г. Краснознаменск",1905,NA,97
"153","г. Лобня",1905,NA,97
"154","г. Лыткарино",1905,0.0178030977390066,97
"155","г. Орехово-Зуево",1905,0.00496787441213486,97
"156","г. Подольск",1905,0.00502807340987178,97
"157","г. Протвино",1905,NA,97
"158","г. Пущино",1905,NA,97
"159","г. Реутов",1905,NA,97
"160","г. Рошаль",1905,NA,97
"161","г. Серпухов",1905,0.00392615684211353,97
"162","г. Троицк",1905,NA,97
"163","г. Фрязино",1905,NA,97
"164","г. Электросталь",1905,0.00691601195086865,97
"165","г. Юбилейный",1905,NA,97
"166","Дмитровский район",1905,0.00551078046428325,97
"167","Домодедовский район",1905,0.00577724590434531,97
"168","Егорьевский район",1905,0.0157184922822203,97
"169","Зарайский район",1905,NA,97
"170","Истринский район",1905,0.00957946163425616,97
"171","Каширский район",1905,0.0100431856985036,97
"172","Клинский район",1905,0.00789989256146116,97
"173","Коломенский район",1905,NA,97
"174","Красногорский район",1905,0.00543729440230541,97
"175","Ленинский район",1905,0.00637931401110001,97
"176","Лотошинский район",1905,NA,97
"177","Луховицкий район",1905,NA,97
"178","Люберецкий район",1905,0.00236483024460228,97
"179","Можайский район",1905,0.0121125864914379,97
"180","Мытищинский район",1905,0.00435383627398692,97
"181","Наро-Фоминский район",1905,0.0062172534435106,97
"182","Ногинский район",1905,0.00439525663903515,97
"183","Одинцовский район",1905,0.00470980363741758,97
"184","Озёрский район",1905,NA,97
"185","Орехово-Зуевский район",1905,0.00759621877110061,97
"186","Павлово-Посадский район",1905,0.00688691682572165,97
"187","пгт. Восход",1905,NA,97
"188","пгт. Молодёжный",1905,NA,97
"189","пгт. Приокск",1905,NA,97
"190","Подольский район",1905,0.0117204287072367,97
"191","Пушкинский район",1905,0.00999175680063947,97
"192","Раменский район",1905,0.00603469485333371,97
"193","Рузский район",1905,0.00958451142952988,97
"194","Сельские населенные пункты, подчиненные администрации г. Звенигород",1905,NA,97
"195","Сельские населенные пункты, подчиненные администрации г. Королёв",1905,0.00413640688061739,97
"196","Сельские населенные пункты, подчиненные администрации г. Щербинка",1905,0.0287852619458837,97
"197","Сергиево-Посадский район",1905,0.00971122352588041,97
"198","Серебряно-Прудский район",1905,NA,97
"199","Серпуховский район",1905,NA,97
"200","Солнечногорский район",1905,0.00824049047399301,97
"201","Ступинский район",1905,0.00807116978154034,97
"202","Талдомский район",1905,0.0108300121296136,97
"203","Химкинский район",1905,0.0086971142974761,97
"204","Чеховский район",1905,NA,97
"205","Шатурский район",1905,0.0128055547650892,97
"206","Шаховской район",1905,NA,97
"207","Щёлковский район",1905,0.00700406235616658,97
"208","Балашихинский район",1906,0.00574065994626742,96
"209","Волоколамский район",1906,0.0164264301260729,96
"210","Воскресенский район",1906,0.0099104753724687,96
"211","г. Бронницы",1906,NA,96
"212","г. Дзержинский",1906,NA,96
"213","г. Долгопрудный",1906,0.0135327153393328,96
"214","г. Дубна",1906,NA,96
"215","г. Железнодорожный",1906,0.0136739047202319,96
"216","г. Жуковский",1906,0.00903478391808463,96
"217","г. Ивантеевка",1906,NA,96
"218","г. Климовск",1906,NA,96
"219","г. Коломна",1906,0.00964931627701809,96
"220","г. Красноармейск",1906,NA,96
"221","г. Краснознаменск",1906,NA,96
"222","г. Лобня",1906,NA,96
"223","г. Лыткарино",1906,0.0158249757680059,96
"224","г. Орехово-Зуево",1906,0.0140756441677154,96
"225","г. Подольск",1906,0.00949747199642448,96
"226","г. Протвино",1906,NA,96
"227","г. Пущино",1906,NA,96
"228","г. Реутов",1906,NA,96
"229","г. Рошаль",1906,NA,96
"230","г. Серпухов",1906,0.00628185094738165,96
"231","г. Троицк",1906,0.0368007850834151,96
"232","г. Фрязино",1906,NA,96
"233","г. Электросталь",1906,0.00484120836560806,96
"234","г. Юбилейный",1906,NA,96
"235","Дмитровский район",1906,0.00895501825446029,96
"236","Домодедовский район",1906,0.00742788759130112,96
"237","Егорьевский район",1906,0.0104789948548135,96
"238","Зарайский район",1906,0.0190844247238722,96
"239","Истринский район",1906,0.00609602103998119,96
"240","Каширский район",1906,0.0157821489547913,96
"241","Клинский район",1906,0.0126398280983379,96
"242","Коломенский район",1906,0.0199955010122722,96
"243","Красногорский район",1906,0.0108745888046108,96
"244","Ленинский район",1906,0.00992337735060001,96
"245","Лотошинский район",1906,NA,96
"246","Луховицкий район",1906,0.0128049170881619,96
"247","Люберецкий район",1906,0.00709449073380682,96
"248","Можайский район",1906,0.0227110996714461,96
"249","Мытищинский район",1906,0.0108845906849673,96
"250","Наро-Фоминский район",1906,0.00904327773601542,96
"251","Ногинский район",1906,0.00879051327807031,96
"252","Одинцовский район",1906,0.00760814433736686,96
"253","Озёрский район",1906,0.025357112670104,96
"254","Орехово-Зуевский район",1906,0.00759621877110061,96
"255","Павлово-Посадский район",1906,0.0177092146947128,96
"256","пгт. Восход",1906,NA,96
"257","пгт. Молодёжный",1906,NA,96
"258","пгт. Приокск",1906,NA,96
"259","Подольский район",1906,0.014324968419956,96
"260","Пушкинский район",1906,0.0124896960007993,96
"261","Раменский район",1906,0.0134620115958983,96
"262","Рузский район",1906,0.0159741857158831,96
"263","Сельские населенные пункты, подчиненные администрации г. Звенигород",1906,NA,96
"264","Сельские населенные пункты, подчиненные администрации г. Королёв",1906,0.00413640688061739,96
"265","Сельские населенные пункты, подчиненные администрации г. Щербинка",1906,NA,96
"266","Сергиево-Посадский район",1906,0.00529703101411659,96
"267","Серебряно-Прудский район",1906,NA,96
"268","Серпуховский район",1906,0.0180456555084363,96
"269","Солнечногорский район",1906,0.0107126376161909,96
"270","Ступинский район",1906,0.00717437313914697,96
"271","Талдомский район",1906,0.0194940218333045,96
"272","Химкинский район",1906,0.00811730667764436,96
"273","Чеховский район",1906,0.00768403258029814,96
"274","Шатурский район",1906,0.0142283941834325,96
"275","Шаховской район",1906,0.0304984315092367,96
"276","Щёлковский район",1906,0.0120069640391427,96
"277","Балашихинский район",1907,0.00746285793014765,95
"278","Волоколамский район",1907,0.0307995564863866,95
"279","Воскресенский район",1907,0.0105711737306333,95
"280","г. Бронницы",1907,NA,95
"281","г. Дзержинский",1907,0.014519056261343,95
"282","г. Долгопрудный",1907,0.0108261722714663,95
"283","г. Дубна",1907,0.0131943528169943,95
"284","г. Железнодорожный",1907,0.00911593648015461,95
"285","г. Жуковский",1907,0.0100386487978718,95
"286","г. Ивантеевка",1907,0.0156457795509661,95
"287","г. Климовск",1907,0.0110162489672267,95
"288","г. Коломна",1907,0.0179201588001764,95
"289","г. Красноармейск",1907,NA,95
"290","г. Краснознаменск",1907,NA,95
"291","г. Лобня",1907,0.0139794967381174,95
"292","г. Лыткарино",1907,0.0217593416810081,95
"293","г. Орехово-Зуево",1907,0.0157316023050937,95
