"","region","year","value","age"
"144","г. Городец",1905,NA,97
"145","г. Кстово",1905,NA,97
"146","г. Нижний Новгород",1905,0.00497375388335399,97
"147","Городецкий район",1905,0.0154729301087747,97
"148","г. Павлово",1905,0.0139170236125501,97
"149","г. Саров",1905,NA,97
"150","Дальнеконстантиновский район",1905,NA,97
"151","Дивеевский район",1905,NA,97
"152","Княгининский район",1905,NA,97
"153","Ковернинский район",1905,NA,97
"154","Краснобаковский район",1905,0.0264935753079878,97
"155","Краснооктябрьский район",1905,0.0520910849828844,97
"156","Кстовский район",1905,NA,97
"157","Кулебакский район",1905,NA,97
"158","Лукояновский район",1905,NA,97
"159","Лысковский район",1905,NA,97
"160","Навашинский район",1905,NA,97
"161","Павловский район",1905,NA,97
"162","Первомайский район",1905,NA,97
"163","Перевозский район",1905,NA,97
"164","Пильнинский район",1905,0.0356167636234121,97
"165","Починковский район",1905,NA,97
"166","Сельские населенные пункты, подчиненные администрации г. Дзержинска",1905,0.00449615017141573,97
"167","Сельские населенные пункты, подчиненные администрации г. Кулебаки",1905,NA,97
"168","Семеновский район",1905,NA,97
"169","Сергачский район",1905,0.0336106209562222,97
"170","Сеченовский район",1905,NA,97
"171","Сокольский район",1905,NA,97
"172","Сосновский район",1905,NA,97
"173","Спасский район",1905,NA,97
"174","Тонкинский район",1905,NA,97
"175","Тоншаевский район",1905,NA,97
"176","Уренский район",1905,NA,97
"177","Чкаловский район",1905,NA,97
"178","Шарангский район",1905,NA,97
"179","Шатковский район",1905,NA,97
"180","Шахунский район",1905,NA,97
"181","Ардатовский район",1906,NA,96
"182","Арзамасский район",1906,NA,96
"183","Балахнинский район",1906,0.0304692260816575,96
"184","Богородский район",1906,0.0328385656114541,96
"185","Большеболдинский район",1906,NA,96
"186","Большемурашкинский район",1906,NA,96
"187","Борский район",1906,0.0156590094110647,96
"188","Бутурлинский район",1906,NA,96
"189","Вадский район",1906,NA,96
"190","Варнавинский район",1906,NA,96
"191","Вачский район",1906,NA,96
"192","Ветлужский район",1906,NA,96
"193","Вознесенский район",1906,NA,96
"194","Володарский район",1906,0.011574743908791,96
"195","Воротынский район",1906,0.0462898671480813,96
"196","Воскресенский район",1906,0.0480019200768031,96
"197","Выксунский район",1906,0.0305633850646925,96
"198","Гагинский район",1906,NA,96
"199","г. Арзамас",1906,0.0101574403250381,96
"200","г. Балахна",1906,0.0140225412350353,96
"201","г. Богородск",1906,NA,96
"202","г. Бор",1906,0.0184427603782443,96
"203","г. Выкса",1906,NA,96
"204","г. Городец",1906,NA,96
"205","г. Кстово",1906,0.0121477162293489,96
"206","г. Нижний Новгород",1906,0.00849364124695836,96
"207","Городецкий район",1906,0.0108310510761423,96
"208","г. Павлово",1906,0.0123706876556001,96
"209","г. Саров",1906,0.0140477388993597,96
"210","Дальнеконстантиновский район",1906,0.0404956669636349,96
"211","Дивеевский район",1906,NA,96
"212","Княгининский район",1906,NA,96
"213","Ковернинский район",1906,NA,96
"214","Краснобаковский район",1906,NA,96
"215","Краснооктябрьский район",1906,NA,96
"216","Кстовский район",1906,NA,96
"217","Кулебакский район",1906,NA,96
"218","Лукояновский район",1906,0.0233236151603499,96
"219","Лысковский район",1906,NA,96
"220","Навашинский район",1906,NA,96
"221","Павловский район",1906,0.0208203206329377,96
"222","Первомайский район",1906,NA,96
"223","Перевозский район",1906,NA,96
"224","Пильнинский район",1906,NA,96
"225","Починковский район",1906,0.029707970648525,96
"226","Сельские населенные пункты, подчиненные администрации г. Дзержинска",1906,0.00562018771426966,96
"227","Сельские населенные пункты, подчиненные администрации г. Кулебаки",1906,0.0179275726066691,96
"228","Семеновский район",1906,0.0140112089671737,96
"229","Сергачский район",1906,0.0196061955577963,96
"230","Сеченовский район",1906,NA,96
"231","Сокольский район",1906,NA,96
"232","Сосновский район",1906,NA,96
"233","Спасский район",1906,NA,96
"234","Тонкинский район",1906,NA,96
"235","Тоншаевский район",1906,NA,96
"236","Уренский район",1906,NA,96
"237","Чкаловский район",1906,0.0394508442480669,96
"238","Шарангский район",1906,NA,96
"239","Шатковский район",1906,0.0213371266002845,96
"240","Шахунский район",1906,0.0158489369891548,96
"241","Ардатовский район",1907,0.0266320450081561,95
"242","Арзамасский район",1907,NA,95
"243","Балахнинский район",1907,0.0457038391224863,95
"244","Богородский район",1907,0.0295547090503087,95
"245","Большеболдинский район",1907,0.0460971112476951,95
"246","Большемурашкинский район",1907,NA,95
"247","Борский район",1907,0.023488514116597,95
"248","Бутурлинский район",1907,NA,95
"249","Вадский район",1907,NA,95
"250","Варнавинский район",1907,NA,95
"251","Вачский район",1907,0.0514933058702369,95
"252","Ветлужский район",1907,0.0481051900155006,95
"253","Вознесенский район",1907,NA,95
"254","Володарский район",1907,0.0173621158631865,95
"255","Воротынский район",1907,0.0277739202888488,95
"256","Воскресенский район",1907,NA,95
"257","Выксунский район",1907,0.0169796583692736,95
"258","Гагинский район",1907,0.0398644608331672,95
"259","г. Арзамас",1907,0.0110808439909506,95
"260","г. Балахна",1907,0.00876408827189707,95
"261","г. Богородск",1907,0.0285160260066157,95
"262","г. Бор",1907,0.0100596874790423,95
"263","г. Выкса",1907,0.00812268503476509,95
"264","г. Городец",1907,0.028318806834272,95
"265","г. Кстово",1907,0.0242954324586978,95
"266","г. Нижний Новгород",1907,0.0120135286105627,95
"267","Городецкий район",1907,0.0216621021522846,95
"268","г. Павлово",1907,0.00773167978475003,95
"269","г. Саров",1907,0.00936515926623977,95
"270","Дальнеконстантиновский район",1907,0.0323965335709079,95
