"","region","year","value","age","ID_2","NAME_2"
"1","Беломорский район",1991,1.32791554959786,11,29117,"Belomorskiy rayon"
"2","Беломорский район",1990,1.52060991957105,12,29117,"Belomorskiy rayon"
"3","Беломорский район",1956,1.8389745308311,46,29117,"Belomorskiy rayon"
"4","Беломорский район",1988,1.82640750670241,14,29117,"Belomorskiy rayon"
"5","Беломорский район",1972,1.5625,30,29117,"Belomorskiy rayon"
"6","Беломорский район",1974,1.51223190348525,28,29117,"Belomorskiy rayon"
"7","Беломорский район",1992,1.22737935656836,10,29117,"Belomorskiy rayon"
"8","Беломорский район",1920,0.184316353887399,82,29117,"Belomorskiy rayon"
"9","Беломорский район",1939,1.22737935656836,63,29117,"Belomorskiy rayon"
"10","Беломорский район",1919,0.196883378016086,83,29117,"Belomorskiy rayon"
"11","Беломорский район",1936,1.25670241286863,66,29117,"Belomorskiy rayon"
"12","Беломорский район",1946,1.0137399463807,56,29117,"Belomorskiy rayon"
"13","Беломорский район",1957,1.77613941018767,45,29117,"Belomorskiy rayon"
"14","Беломорский район",1935,1.14778820375335,67,29117,"Belomorskiy rayon"
"15","Беломорский район",1959,1.70073726541555,43,29117,"Belomorskiy rayon"
"16","Беломорский район",1904,NA,98,29117,"Belomorskiy rayon"
"17","Беломорский район",1973,1.52898793565684,29,29117,"Belomorskiy rayon"
"18","Беломорский район",1958,1.82221849865952,44,29117,"Belomorskiy rayon"
"19","Беломорский район",1975,1.6504691689008,27,29117,"Belomorskiy rayon"
"20","Беломорский район",1903,NA,99,29117,"Belomorskiy rayon"
"21","Беломорский район",1989,1.7468163538874,13,29117,"Belomorskiy rayon"
"22","Беломорский район",1947,1.24832439678284,55,29117,"Belomorskiy rayon"
"23","Беломорский район",1940,1.13103217158177,62,29117,"Belomorskiy rayon"
"24","Беломорский район",1984,0.938337801608579,18,29117,"Belomorskiy rayon"
"25","Беломорский район",1977,1.39912868632708,25,29117,"Belomorskiy rayon"
"26","Беломорский район",1905,NA,97,29117,"Belomorskiy rayon"
"27","Беломорский район",1963,1.34467158176944,39,29117,"Belomorskiy rayon"
"28","Беломорский район",1949,1.84316353887399,53,29117,"Belomorskiy rayon"
"29","Беломорский район",1993,1.04306300268097,9,29117,"Belomorskiy rayon"
"30","Беломорский район",1921,0.226206434316354,81,29117,"Belomorskiy rayon"
"31","Беломорский район",1979,1.3781836461126,23,29117,"Belomorskiy rayon"
"32","Беломорский район",1907,NA,95,29117,"Belomorskiy rayon"
"33","Беломорский район",1951,1.75519436997319,51,29117,"Belomorskiy rayon"
"34","Беломорский район",1937,1.31534852546917,65,29117,"Belomorskiy rayon"
"35","Беломорский район",1995,0.988605898123324,7,29117,"Belomorskiy rayon"
"36","Беломорский район",1923,0.364443699731903,79,29117,"Belomorskiy rayon"
"37","Беломорский район",1967,1.27345844504021,35,29117,"Belomorskiy rayon"
"38","Беломорский район",1960,1.70911528150134,42,29117,"Belomorskiy rayon"
"39","Беломорский район",1953,1.6546581769437,49,29117,"Belomorskiy rayon"
"40","Беломорский район",1922,0.297419571045576,80,29117,"Belomorskiy rayon"
"41","Беломорский район",1983,0.779155495978552,19,29117,"Belomorskiy rayon"
"42","Беломорский район",1976,1.54574396782842,26,29117,"Belomorskiy rayon"
"43","Беломорский район",1969,1.42426273458445,33,29117,"Belomorskiy rayon"
"44","Беломорский район",1962,1.57087801608579,40,29117,"Belomorskiy rayon"
"45","Беломорский район",1948,1.22319034852547,54,29117,"Belomorskiy rayon"
"46","Беломорский район",1941,1.11846514745308,61,29117,"Belomorskiy rayon"
"47","Беломорский район",1985,1.17292225201072,17,29117,"Belomorskiy rayon"
"48","Беломорский район",1978,1.26926943699732,24,29117,"Belomorskiy rayon"
"49","Беломорский район",1906,NA,96,29117,"Belomorskiy rayon"
"50","Беломорский район",1964,1.40750670241287,38,29117,"Belomorskiy rayon"
"51","Беломорский район",1950,1.75519436997319,52,29117,"Belomorskiy rayon"
"52","Беломорский район",1994,1.03887399463807,8,29117,"Belomorskiy rayon"
"53","Беломорский район",1970,1.36980563002681,32,29117,"Belomorskiy rayon"
"54","Беломорский район",1980,1.18548927613941,22,29117,"Belomorskiy rayon"
"55","Беломорский район",1908,NA,94,29117,"Belomorskiy rayon"
"56","Беломорский район",1952,1.80965147453083,50,29117,"Belomorskiy rayon"
"57","Беломорский район",1938,1.36142761394102,64,29117,"Belomorskiy rayon"
